,alpha
A2M,4.272804
A2ML1,0.1
AASS,0.18096825
AATK,0.37360808
ABCA1,0.1
ABCA2,0.75825083
ABCA8,0.3522847
ABCB1,0.35460576
ABCC4,0.1
ABCC9,0.33027458
ABCG2,8.526232
ABHD15-AS1,0.1
ABI3BP,0.13878593
ABR,1.0762144
ABTB1,4.41677
ACAA2,2.3234646
ACACB,0.1
ACAP1,0.3276366
ACKR3,0.39363125
ACOT11,0.1
ACSBG1,0.6675369
ACSF2,0.5794468
ACSS1,0.4385077
ACTN2,6.1703196
ADA,0.43161365
ADAM28,0.1
ADAMTS14,0.25815582
ADAMTS17,0.1
ADAMTS3,0.34479314
ADAMTS4,5.1527
ADAMTS9,0.1
ADAMTS9-AS2,0.1
ADAMTSL1,0.1
ADAMTSL3,0.1
ADAP2,0.2216085
ADCY2,0.30871454
ADCY7,0.4964243
ADD3-AS1,0.1
ADGRE2,0.11410764
ADGRE5,0.2354396
ADGRF5,2.1607718
ADGRG1,1.9402578
ADGRG5,0.1
ADGRV1,0.59132093
ADIRF,10.0
ADORA2B,2.5003297
ADRB1,2.620048
AEBP1,1.1109018
AGBL1,0.1
AGMO,0.1
AGPAT4,0.14172967
AGT,4.9452944
AGTRAP,0.35960904
AHCYL1,1.4891531
AHNAK,1.0719231
AIF1L,8.235044
AK5,3.1416218
AK7,0.7548269
AKAP13,0.105759636
AKR1A1,1.6618992
ALCAM,0.36515567
ALDH1A1,0.40702367
ALDH1A2,0.10680153
ALDH1L1,1.8717717
ALDH3B1,0.8267175
ALOX5,0.18165016
ALOX5AP,0.3866742
ALPK1,0.1
ALPK3,0.20274982
ALPL,3.587954
AMDHD1,0.68362516
AMER1,0.5331519
AMER2,1.0321295
AMOT,0.98705214
AMPD3,0.44805446
AMZ1,0.1
AMZ2,0.76242363
ANGPTL4,0.47867084
ANKDD1A,0.17835505
ANKFN1,0.1
ANKRD18A,0.1
ANKRD2,0.81030345
ANKRD44,0.1
ANKRD65,6.8033047
ANLN,0.66753167
ANO2,0.1
ANO3,1.4200807
ANOS1,0.32205075
ANTXR2,0.1
ANXA4,0.16514464
AOAH,0.1
APBB1IP,0.1
APCDD1,0.58743876
APLNR,4.463295
APLP1,2.1548412
APOC2,4.998754
APOD,10.0
APOE,10.0
APOLD1,0.38344917
AQP1,0.5051595
AQP4,3.6026657
AQP4-AS1,0.1
ARAP2,0.12753265
ARF6,1.1525412
ARFGEF3,1.1620525
ARHGAP1,0.79546255
ARHGAP10,0.17462252
ARHGAP15,0.1
ARHGAP18,0.76148254
ARHGAP23,1.3466002
ARHGAP25,0.1
ARHGAP30,0.1
ARHGAP31,0.1692191
ARHGAP4,0.9579146
ARHGAP42,0.1
ARHGAP6,0.1
ARHGAP8,0.1
ARHGDIB,0.55472916
ARHGEF10L,0.15693487
ARHGEF26,0.38073266
ARHGEF26-AS1,0.21204992
ARHGEF4,0.51599073
ARID5A,1.6409339
ARMC3,0.1
ARMH1,0.1
ARPC1B,1.0965775
ARPP21,0.672548
ARRB1,0.8457536
ARRDC2,2.81381
ASB18,0.1
ASIC2,0.14499974
ASIP,0.1
ASPA,0.50294745
ATG16L2,0.61468583
ATOH8,0.12684235
ATP10A,0.1
ATP10B,0.1
ATP11A,0.16463369
ATP11C,0.12460913
ATP13A4,0.122257836
ATP13A5,0.1
ATP1A1-AS1,0.1
ATP1A2,1.8799471
ATP5ME,10.0
ATP6V0D2,0.1
ATP8A1,0.22935046
ATP8B4,0.1
AXL,0.8036216
B2M,2.276388
B3GAT1,8.73444
B3GNT5,0.17083637
B4GALT1,0.1
BAALC,2.7991095
BACE1-AS,0.7456596
BAG3,0.62416583
BBOX1,0.38281924
BCAN,3.6109881
BCAR3,0.11545436
BCAS1,1.8552381
BCAS2,1.8464952
BCL11B,0.15066838
BCL2,0.1
BCL2L1,0.4800405
BCL2L11,0.15352584
BCL6,0.219331
BCORL1,0.47216737
BCR,0.8753829
BEST1,0.75054353
BGN,1.0572599
BHLHE40,1.5412707
BHLHE41,1.5090787
BHMT2,0.65830964
BID,2.8661487
BIN1,0.7755135
BIN2,0.1
BLNK,0.22725652
BMP2K,0.12610254
BMP7,0.9825108
BMPR1B,0.1
BNC2,0.1
BOC,0.1
BOK,1.3673329
BRINP3,0.1
BTG1,0.54966795
BTG2,1.0523592
BTK,0.27980134
C10orf105,0.11181139
C10orf143,0.23754257
C10orf90,0.1
C14orf132,3.121769
C14orf93,0.10970208
C17orf100,2.3934937
C19orf38,0.2576742
C19orf53,10.0
C1QA,10.0
C1QB,3.9902735
C1QC,3.1800137
C1QL1,1.7309067
C1QTNF1,0.2650642
C1orf105,0.1
C1orf198,1.1991408
C21orf62-AS1,0.1
C21orf91,0.6905686
C2orf72,0.5758293
C3,2.3675656
C4orf19,0.44041637
C5orf64,0.1
C6orf47,1.3885127
C8orf34,0.1
C9,0.1
CA12,0.1
CA2,1.2240382
CA7,10.0
CABCOCO1,0.52178293
CABLES1,0.19907676
CACNA1A,0.21569204
CACNG4,0.5235648
CAHM,1.5001853
CALCB,0.58118945
CALCRL,0.40676522
CAMK1D,0.9062524
CAMK2A,10.0
CAMK2G,0.5123166
CAPN10-DT,0.1
CAPN3,1.066932
CAPS,0.16792944
CARD11,0.1
CARD14,0.2714385
CARHSP1,1.4993281
CARMN,0.1808126
CARNS1,1.8140424
CASC17,0.1
CASC2,0.1
CASP10,0.20210187
CASP7,0.19047236
CASP8,0.1
CASQ2,8.462734
CASZ1,0.13422534
CATSPERB,0.1
CAVIN1,5.4032273
CBFB,0.12391002
CBLN2,10.0
CBR1,10.0
CBR3-AS1,0.13348483
CCBE1,0.60539037
CCDC122,0.1
CCDC136,7.7892613
CCDC158,0.55654037
CCDC200,0.1
CCDC26,0.1
CCDC60,0.1
CCDC8,1.5950674
CCDC80,2.2581396
CCDC88C,0.1
CCL4,0.1
CCL5,0.1
CCND3,0.4221762
CCNQ,4.2900653
CCP110,0.61630964
CD109,0.3425953
CD14,4.428833
CD163,2.2638884
CD163L1,1.3805133
CD22,0.11337662
CD247,0.1
CD300A,0.1
CD36,0.1
CD38,0.24439876
CD3G,0.1
CD4,1.3868808
CD44,0.1
CD53,0.22420388
CD55,0.20524772
CD6,0.1
CD69,0.1
CD7,0.1
CD74,6.209948
CD81,2.5096977
CD83,8.790677
CD84,3.8541985
CD86,0.27819523
CD9,6.32448
CD96,0.1
CD99,1.2273023
CDC14A,0.1
CDC42EP2,5.056549
CDC42EP4,1.2307466
CDC42SE2,0.37460044
CDH1,0.1
CDH11,0.24033359
CDH12,0.1
CDH19,0.57145995
CDH20,0.1
CDH23,0.1
CDH4,0.8699275
CDH6,0.36019248
CDH9,1.7828112
CDHR1,1.644872
CDHR3,0.1
CDK18,0.384648
CDK19,0.13093814
CDKN1A,1.2579247
CDKN1C,2.8190625
CDNF,0.24616276
CDYL,0.17089562
CEBPD,1.5972941
CECR2,0.1
CEMIP,0.5117542
CEMIP2,0.1
CEP128,0.1
CERCAM,0.23843144
CERKL,0.1
CFAP299,0.1
CFAP47,0.1
CFH,0.21152583
CFLAR,0.25010648
CFTR,0.1
CGNL1,0.49770308
CHD7,0.13487874
CHN2,0.1
CHODL,0.1
CHRM3,0.61941
CHST11,0.1
CHST6,0.30546
CHST9,0.1
CHSY3,0.1
CIITA,0.1501213
CLCA4,0.5111472
CLDN11,1.367936
CLDND1,1.2039877
CLEC7A,0.7147944
CLIC4,0.5965964
CLMN,0.26797017
CLMP,0.54465884
CLSTN2,0.61721295
CLTRN,0.35162997
CLU,10.0
CMKLR1,0.28071672
CMTM7,0.1
CMTM8,0.2744506
CMYA5,0.27254203
CNBD1,0.1
CNDP1,2.2769692
CNKSR3,0.1
CNN2,0.1
CNOT6L,0.1
CNP,4.1052823
CNTN2,1.4686656
CNTN3,0.16944012
CNTN4,0.1
CNTN5,0.1
CNTNAP4,0.15094058
COA3,10.0
COBL,1.0740292
COBLL1,0.33524877
COL14A1,0.22724779
COL16A1,1.7700123
COL1A2,1.0279198
COL27A1,0.1
COL4A3,0.1
COL4A5,0.13916323
COL5A3,0.7934418
COL6A2,0.25931776
COL9A1,0.25265637
COLEC12,0.1
COLGALT2,0.28872675
COQ10A,2.4133735
COQ5,0.80873007
CORO2B,1.1510757
COX14,10.0
COX7B,10.0
CP,1.202556
CPAMD8,0.11717477
CPB1,0.1
CPEB1-AS1,0.1
CPEB2,0.15470572
CPED1,0.1
CPM,0.3376314
CPNE8,0.6993805
CPOX,0.40450895
CPQ,0.11736593
CPS1,1.272691
CPVL,1.7233887
CPXM2,0.1
CR1,1.2049328
CRB1,0.1
CRB2,0.966453
CREB5,0.11217466
CREM,0.22200319
CRHBP,10.0
CRISPLD2,0.21117806
CRTAM,0.1
CRTC3,0.1
CRTC3-AS1,0.1
CRYAB,10.0
CSF1,0.42679462
CSF1R,1.8253092
CSF3R,0.41878957
CSGALNACT1,0.21579064
CSMD2,0.1
CSRP1,4.568841
CST3,10.0
CST7,0.1
CT69,0.1
CTDSP1,0.74653447
CTNNA3,0.1
CTSH,1.6253436
CTSZ,1.0918555
CTXND1,0.29201055
CUEDC1,0.2633305
CX3CR1,2.146278
CXCL14,10.0
CXCR4,0.1
CYB5RL,0.26383862
CYBA,0.3471557
CYBB,0.77362674
CYBRD1,1.0529518
CYFIP1,0.47095588
CYP1B1,10.0
CYP21A2,0.1
CYP27A1,0.27597812
CYP2J2,0.50322956
CYP3A5,0.1
CYP7B1,0.19152588
CYSLTR1,0.4341724
CYTH4,0.22382729
CYTIP,0.1
CYTOR,1.0693957
DAAM2,0.20510164
DAB2IP,1.8197254
DAPK1,0.34852904
DAPK1-IT1,0.85401225
DAPK2,0.1638591
DBNDD2,10.0
DCC,0.1
DCN,1.1482689
DDAH2,3.839667
DDIT4,0.7021903
DDN,10.0
DDO,1.4991782
DDR2,0.45026985
DEF6,0.1
DENND3,0.8442758
DERA,0.4787001
DGKB,0.410136
DGKG,0.1
DGKH,0.48626718
DHRS3,0.63583094
DIAPH2,0.1
DIAPH3,0.20861705
DIPK1C,0.9659882
DIPK2B,1.6608677
DIRC3,0.1
DIRC3-AS1,0.1
DIXDC1,1.040472
DLC1,0.1
DLEU1,0.1
DLEU2,0.1
DLG1,0.1
DLGAP1-AS1,0.7156095
DLX6-AS1,10.0
DMD,0.1
DMGDH,0.1
DNAH11,0.1
DNAH12,0.1
DNAH17-AS1,0.3257769
DNAH5,0.1
DNAH7,0.11244803
DNAJC30,1.6473968
DNAJC6,0.7135244
DNM2,0.16428299
DOCK1,0.118806064
DOCK10,0.1
DOCK2,0.1
DOCK5,0.1
DOCK8,0.1
DOP1B,0.8270043
DPF3,0.1
DPYD,0.1
DPYSL3,1.5098474
DPYSL5,0.26836663
DSCC1,0.7095232
DTHD1,0.1
DUSP1,3.0723066
DUSP2,0.27190316
DUSP28,5.2642794
DYNLRB2,1.2328215
DYRK3,0.60225576
DYSF,0.5097352
EBF1,0.1
ECE1,0.24138105
ECM2,0.14868437
EDA2R,0.33276787
EDARADD,0.1
EDIL3,0.7516809
EDNRA,0.2737556
EDNRB,1.189057
EEF1AKMT3,0.1
EFEMP1,0.21461312
EFHD1,1.5913606
EGF,0.1715132
EGFL7,1.0
EGLN3,0.11509836
EHD2,2.3508935
EIF3E,0.88046527
ELF1,0.1
ELF2,0.1
ELF4,0.1
ELK3,0.41510168
ELMO1,0.1
ELN,0.29429632
ELOVL1,1.16729
ELOVL7,0.10736007
EMCN,3.3036308
EMID1,0.8048946
EMILIN1,1.2996811
EMP1,3.5267267
EMP3,0.79309464
ENDOG,3.6145365
ENG,0.74469566
ENHO,8.360235
