de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
1,LHFPL3,9.651805471547629,0.0,0.0,300.0,300.0,UP,10.149446546108344,0.49764107456071544,99.49238578680203,6.516443361753958,92.97594242504807,5.540817624514188,1,1,0
2,VCAN,9.020096183764565,0.0,0.0,300.0,300.0,UP,9.222656499898049,0.20256031613348466,98.98477157360406,2.679658952496955,96.30511262110711,7.531170904282655,1,1,0
3,SOX6,8.806407353388993,0.0,0.0,300.0,300.0,UP,9.49097482962985,0.6845674762408581,99.23857868020305,9.013398294762483,90.22518038544057,4.3892420326037165,1,1,0
4,NXPH1,8.401380493528736,0.0,0.0,300.0,300.0,UP,8.543636489420598,0.1422559958918616,96.44670050761421,1.8879415347137638,94.55875897290045,6.9237150317460445,1,1,0
5,DCC,8.259914115106762,0.0,0.0,300.0,300.0,UP,8.95466821654691,0.6947541014401486,98.47715736040608,8.587088915956151,89.89006844444992,3.8890834735914583,1,1,0
6,TMEM132D,7.473092147446357,0.0,0.0,300.0,300.0,UP,7.682909457190404,0.20981730974404725,93.90862944162437,2.679658952496955,91.22897048912742,5.134455249167044,1,1,0
7,DGKG,7.40005762918367,0.0,0.0,300.0,300.0,UP,7.740617679088261,0.3405600499045905,93.90862944162437,4.5676004872107185,89.34102895441364,4.428379466250011,1,1,0
8,TMEM132C,7.313982877064302,0.0,0.0,300.0,300.0,UP,7.686567646112947,0.37258476904864524,93.1472081218274,5.054811205846529,88.09239691598087,4.199217795892469,1,1,0
9,SMOC1,7.027082329000304,0.0,0.0,300.0,300.0,UP,7.227718415700618,0.20063608670031352,91.11675126903553,2.8014616321559074,88.31528963687963,4.74727410177615,1,1,0
10,MEGF11,7.04259771883873,1.0577440119318035e-292,1.2722309921290861e-290,291.97561942049856,289.8954340289842,UP,7.710135370952576,0.6675376521138472,93.4010152284264,9.135200974421437,84.26581425400497,3.3264288584829713,1,1,0
11,POU6F2,6.723253129705083,0.0,0.0,300.0,300.0,UP,7.011409286790179,0.2881561570850955,88.07106598984772,3.836784409257003,84.23428158059072,3.843331182204268,1,1,0
12,PDGFRA,6.700629115124639,0.0,0.0,300.0,300.0,UP,6.7375145550993985,0.03688543997475921,85.0253807106599,0.48721071863580995,84.5381699920241,4.940141527393375,1,1,0
