de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
1,SLC38A11,7.9772859909694525,0.0,0.0,300.0,300.0,UP,7.984352368430866,0.007066377461413263,93.33333333333333,0.09896091044037605,93.23437242289295,27.19223662866001,1,1,0
2,LINC02147,7.857323497550116,1.3691201049825356e-306,1.4820725136435948e-303,299.9999994053991,299.99935682058714,UP,7.874465669313337,0.017142171763221064,93.33333333333333,0.24740227610094012,93.08593105723239,20.11129763617692,1,1,0
3,SLC12A7,7.94233664049736,2.50925615302891e-279,1.3581348928268976e-276,278.6004550022292,275.86705709286775,UP,7.972487486932242,0.03015084643488194,100.0,0.4453240969816922,99.5546759030183,17.50042663195847,1,1,0
4,GGT5,7.307804273588158,2.0746070272003073e-291,1.4971747379628886e-288,290.68306415516724,287.82472750940656,UP,7.3283414135944955,0.020537140006337048,93.33333333333333,0.29688273132112813,93.0364506020122,17.744676535112692,1,1,0
5,ITIH5,8.566188950879353,7.891317931575001e-232,1.7084703321859878e-229,231.10285045907042,228.76739255838103,UP,8.617389325218577,0.05120037433922424,100.0,0.6927263730826323,99.30727362691736,13.911306546361185,1,1,0
6,HTR1F,8.474707973296994,7.369035215873279e-231,1.4503601129423316e-228,230.13258936802288,227.83852415249171,UP,8.528673172563598,0.05396519926660451,100.0,0.6927263730826323,99.30727362691736,13.035278531401,1,1,0
7,NOTCH3,7.954178342880337,3.046391554990864e-234,7.328264129505801e-232,233.51621427721696,231.1349988859669,UP,7.993351673070527,0.039173330190190106,93.33333333333333,0.5442850074220682,92.78904832591127,14.251577218780133,1,1,0
8,CARMN,6.869577007188203,1.8654025688584495e-263,6.730994269297572e-261,262.7292274295029,260.17192077919714,UP,6.891359820341132,0.021782813152928706,86.66666666666667,0.29688273132112813,86.36978393534554,14.904002393164452,1,1,0
9,TFPI,5.99412520183784,1.3291194644513539e-266,5.755087281074362e-264,265.8764359818712,263.2399480855178,UP,6.008235530293366,0.014110328455525834,80.0,0.1979218208807521,79.80207817911925,14.73893321936843,1,1,0
10,SLC6A12,8.277234235614124,1.6081041613476074e-192,2.4868182209411214e-190,191.7936858242235,189.60435595921237,UP,8.348024984361807,0.07079074874768373,100.0,0.9896091044037605,99.01039089559625,11.642995779455562,1,1,0
11,IFITM3,5.988096404709205,1.0858395969467106e-212,1.808340559530483e-210,211.96423432512103,209.74271977673848,UP,6.018504000428256,0.03040759571905028,80.0,0.3958436417615042,79.6041563582385,10.972646630873033,1,1,0
12,GPER1,5.055377840241603,2.85254037825879e-228,5.146458265775234e-226,227.54476819934416,225.2884915447024,UP,5.065457251674418,0.010079411432814494,66.66666666666666,0.14844136566056407,66.5182253010061,12.726394697438272,1,1,0
13,PDGFRB,7.951507618047241,7.084428566164668e-135,6.668603411194134e-133,134.14969517443134,132.17596510975955,UP,8.05674991598284,0.1052422979355981,93.33333333333333,1.4844136566056407,91.84891967672769,9.065207461340316,1,1,0
14,COL1A2,4.123777706977135,3.557339990073183e-237,9.627051348135552e-235,236.44887462546464,234.01650671176722,UP,4.123777706977135,0.0,53.333333333333336,0.0,53.333333333333336,12.798675166049346,1,1,0
