marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,OBI1-AS1,0.07568029,0.01883833,54.554073,8.260707,2.6453414,0.8676077509205697,97.76861,1,1,0.0003453147,6.1421604e-05
2,HPSE2,0.073378466,0.016388483,87.00915,8.837367,2.6455948,0.8693842152654379,98.492744,1,1,0.00018835347,3.582821e-05
3,TNC,0.03388974,0.008139284,63.310635,8.670703,2.6454346,0.8703617626745555,98.31129,1,1,0.00012856099,1.9972958e-05
4,TRPM3,0.028835779,0.023431947,2.4233449,3.8042858,2.4342115,0.7603861103955039,66.61937,1,1,0.009669258,0.0016772747
5,ALDH1A1,0.020203581,0.002775189,1450.0953,13.308835,2.64575,0.8748277703764937,99.93109,1,1,1.9136976e-06,2.7338538e-07
6,GFAP,0.019726895,0.0059008226,27.306047,6.1841564,2.644169,0.8228037686014171,91.21858,1,1,0.00021609938,8.1151295e-05
7,LINC01088,0.017470617,0.008892271,6.132751,5.0739546,2.6127748,0.8107312738641022,82.79387,1,1,0.0014499644,0.00026399762
8,SLC1A2,0.017253399,0.011120953,3.7182207,3.6189277,2.4973145,0.724010134345807,63.704002,1,1,0.002990934,0.0009051824
9,PITPNC1,0.015747134,0.01789575,1.4107478,2.1014435,1.8203714,0.5879832179939495,38.005836,1,1,0.012685294,0.0041701565
10,SLC14A1,0.015714146,0.004131272,43.867176,7.3237014,2.6451163,0.8558709429971645,95.81334,1,1,9.4176736e-05,2.5788633e-05
11,MIR4300HG,0.015312923,0.0077352733,6.240011,4.421005,2.6134222,0.7557833064372839,75.37098,1,1,0.0012396248,0.0003610942
12,GPC5,0.013707383,0.018612817,1.0885051,2.575047,1.8263295,0.6773243211804538,45.983086,1,1,0.017099429,0.0031235304
13,TENM2,0.012125389,0.00841837,3.222168,4.303197,2.52246,0.7936245268737203,73.82397,1,1,0.0026126415,0.00042641905
14,PPP2R2B,0.011479679,0.018581055,0.85487306,0.96424896,0.98171914,0.31680745316927933,21.796864,3,0,0.021735456,0.00952363
15,SORBS1,0.010847701,0.00891722,2.3753164,3.7191293,2.423742,0.7588267205965711,65.29414,1,1,0.003754119,0.0006771111
16,LINC00299,0.010672985,0.0038278773,15.252152,5.4929366,2.6383517,0.8124493886001172,86.54722,1,1,0.00025097284,8.4999985e-05
17,RFX4,0.010385032,0.003979964,12.589914,5.9260664,2.6381223,0.8354861105509801,89.67596,1,1,0.00031612313,6.54568e-05
18,CLU,0.01016833,0.0041103205,10.86809,4.871338,2.6352472,0.7649340467921282,80.700165,1,1,0.00037820073,0.00014042894
19,EFEMP1,0.010048979,0.0026645446,42.439465,7.4366364,2.644844,0.861153270282395,96.11635,1,1,6.278449e-05,1.5380469e-05
20,CDH20,0.01002586,0.0099694,1.73372,2.1388552,1.9763707,0.5621459008459122,38.6187,1,1,0.0057502943,0.002263651
21,GLIS3,0.009898127,0.0058422084,4.44253,4.006396,2.5753088,0.7418782037278677,69.659004,1,1,0.0013150632,0.00036352273
22,RGMA,0.009745436,0.0030243848,24.085424,6.7442927,2.6435342,0.8519965717992175,93.87095,1,1,0.00012556899,2.8209868e-05
23,GJA1,0.008665213,0.0020629375,65.71467,7.439904,2.6452956,0.8564457101198462,96.12478,1,1,3.1392246e-05,1.1880866e-05
24,ZBTB20,0.008092552,0.012312804,0.929473,0.5311096,1.1079736,0.16572072233322505,17.111113,2,0,0.013247081,0.008520735
25,WDR49,0.007972891,0.0023651593,28.106882,7.014961,2.6441383,0.8565155618277798,94.865585,1,1,8.414866e-05,1.8287083e-05
26,NTRK2,0.007952104,0.0074220775,1.9194995,2.646798,2.1585696,0.6444277010001254,47.220627,1,1,0.0038666732,0.0011851133
27,ADCY2,0.0077260192,0.005165574,3.4623468,4.3929048,2.5387325,0.7983731016932474,75.00764,1,1,0.0014919285,0.00024587955
28,NEBL,0.0072107436,0.007435424,1.6373707,2.5135715,2.0978942,0.6393525054222602,44.92664,1,1,0.0045410753,0.0013021028
29,ERBB4,0.007015323,0.013336025,0.69222295,1.3960185,1.0445907,0.520387985818575,27.323639,2,0,0.019265506,0.005067374
30,KCNN3,0.0069228807,0.002406712,16.75184,5.488537,2.640932,0.8015635444501235,86.51168,1,1,0.00014366841,5.3605465e-05
31,MYBPC1,0.006823012,0.0004456602,4456602.0,22.087513,2.6457498,0.875,99.999985,1,1,0.0,0.0
32,NFIA,0.006581844,0.007871785,1.3074224,1.515052,1.9979068,0.3486067203586649,28.992336,1,1,0.006020843,0.0027542107
33,GLI3,0.0062836707,0.0028497512,8.070153,4.9595647,2.6251762,0.7975855830827541,81.63481,1,1,0.00035312222,9.158593e-05
34,PTGDS,0.006198827,0.006008003,1.8060048,2.0127869,1.9615042,0.5215323693345959,36.56898,1,1,0.0033266817,0.001488747
35,LINC00499,0.0060610566,0.0013729044,81.66278,7.9226456,2.645525,0.8616175281420357,97.19594,1,1,1.6811775e-05,5.6582057e-06
36,RPS6KA2,0.0060603702,0.005675208,1.9091691,2.3329778,2.2910113,0.5148116017824549,41.852943,1,1,0.002972606,0.0011263813
37,TRPS1,0.006015564,0.0053281337,2.0926208,1.5316213,2.4549682,0.26182362738997167,29.22935,1,1,0.0025461535,0.0018429396
38,NHSL1,0.0060103005,0.0041307337,3.2845693,3.4654577,2.498779,0.7030170304490482,61.21034,1,1,0.001257618,0.00037395587
39,LAMA1,0.0057226666,0.0014776955,47.071842,7.743882,2.6451848,0.8633684300051947,96.83775,1,1,3.1392246e-05,6.893471e-06
40,SLC1A3,0.0056993887,0.007605179,1.1157489,1.9966199,1.7396508,0.5738109083862506,36.309437,1,1,0.00681621,0.0019057544
41,FRMPD2,0.0056609404,0.0013015814,76.4226,8.288966,2.6454675,0.8672547136939472,97.81098,1,1,1.7031267e-05,4.1613425e-06
42,AQP4,0.005567825,0.001676336,26.699799,6.8705473,2.6440892,0.8518380605153191,94.355545,1,1,6.278449e-05,1.43257475e-05
43,PAMR1,0.0053366,0.0019133026,15.268143,5.611975,2.6367493,0.8236592139060968,87.47928,1,1,0.00012531328,3.9120987e-05
44,MSI2,0.005255563,0.0059830914,1.4070517,1.6624203,2.0523298,0.38873694365885814,31.139446,1,1,0.0042522186,0.0018901107
45,ACOT11,0.0050292765,0.0022922163,7.9716287,4.9905224,2.6270926,0.7927357014456293,81.954346,1,1,0.00028754672,7.2103794e-05
46,ENTPD2,0.005003614,0.0009457293,197.49149,9.469229,2.6456974,0.8713641211016314,99.022125,1,1,4.788609e-06,1.3341736e-06
47,SLC25A18,0.004930892,0.0017373966,16.083145,5.1138396,2.6382873,0.7787689685112007,83.18416,1,1,0.000108025815,5.0174036e-05
48,SLC4A4,0.0047897035,0.0019449219,10.73612,4.2988987,2.633353,0.6911244410523854,73.766365,1,1,0.00018115676,9.881077e-05
49,NEAT1,0.004693501,0.009250122,0.6609652,0.5820848,0.5887631,0.2952037953522774,17.61809,3,0,0.01399487,0.0061790613
50,AHCYL1,0.0046429317,0.0032633014,3.1486015,3.0120685,2.5323226,0.5645337203432272,53.54149,1,1,0.0010364287,0.00040451452
51,BMPR1B,0.004592927,0.0030334722,3.5452487,4.244112,2.5454571,0.779983801707528,73.02487,1,1,0.0008556443,0.00016007914
52,HSPB8,0.0043301666,0.0007619815,292.76245,10.442936,2.6457343,0.8733483169767116,99.49972,1,1,2.6026294e-06,5.473035e-07
53,CAMK2G,0.0043290234,0.0036241896,2.3018417,3.0334518,2.4173195,0.6275484908209921,53.90996,1,1,0.0015744738,0.0004426402
54,ANKFN1,0.0041535576,0.0029397793,3.107772,3.6229208,2.4983265,0.7305172613192432,63.76797,1,1,0.00094594416,0.00023861993
55,ITPKB,0.004027342,0.002771652,3.2761264,2.533918,2.4638972,0.5044255046004162,45.275833,1,1,0.0008460149,0.00047857867
56,AQP1,0.003996632,0.0013354733,18.938866,7.0506206,2.64209,0.8624616906727687,94.984665,1,1,7.0514856e-05,1.0073551e-05
57,WWC1,0.0038068744,0.0017221908,8.120125,4.9080443,2.6229956,0.7970979808857692,81.09337,1,1,0.00021208909,5.736038e-05
58,ZNRF3,0.0037765054,0.002907835,2.6646557,3.401422,2.4754105,0.6841095315336214,60.151375,1,1,0.0010912609,0.00027519438
59,FGFR3,0.003696863,0.0014607253,11.564062,6.1191607,2.6362767,0.8471371405806676,90.85097,1,1,0.00012631583,2.1014333e-05
60,CDHR3,0.0035948954,0.0017380393,6.911856,4.536515,2.6089127,0.7767746806420495,76.82693,1,1,0.0002514576,7.489137e-05
61,SDC4,0.0035617012,0.0010480048,28.920809,6.6577377,2.6435666,0.8490167401573119,93.51658,1,1,3.6236954e-05,1.0379595e-05
62,ACACB,0.0035210336,0.0017194628,6.7504597,3.5013983,2.6074495,0.6076943259400838,61.800163,1,1,0.0002547178,0.00015183316
63,FBXL7,0.0033988468,0.004581176,1.0999547,1.4277046,1.4494073,0.47139948880307436,27.761946,1,1,0.004164877,0.0017029233
64,ANKDD1A,0.0033805186,0.0016128855,7.1331196,4.3603683,2.621276,0.7346540593579389,74.58251,1,1,0.00022611211,7.8523815e-05
65,NWD1,0.0033281401,0.0009668377,30.258598,7.3234596,2.644408,0.8609057424658397,95.81269,1,1,3.1952397e-05,6.0362254e-06
66,SERPINI2,0.0033168853,0.00082391663,55.022503,8.514947,2.6453266,0.8700704945146478,98.12243,1,1,1.4974075e-05,2.252213e-06
67,BBOX1,0.003309838,0.0006759556,132.82478,9.530527,2.645678,0.872176867200571,99.062454,1,1,5.0889776e-06,9.138945e-07
68,MAML2,0.0033071884,0.00604937,0.7275421,0.3773816,0.44825763,0.19632083356416544,15.652307,4,0,0.008314804,0.0046570078
69,PARD3B,0.003305182,0.004818348,0.98567224,1.8315663,1.6370928,0.4719054410661853,33.70731,2,0,0.004888388,0.0013537601
70,FAP,0.003284426,0.0009841537,27.143312,6.362234,2.6434162,0.839591325460197,92.15838,1,1,3.625759e-05,1.1962889e-05
71,PSD2,0.003261998,0.0015503418,7.1993165,4.399185,2.6131964,0.7558093851610204,75.08917,1,1,0.0002153456,7.3475116e-05
72,EYA1,0.0032366253,0.002373758,2.909864,3.5214922,2.4667373,0.7249335950513771,62.128426,1,1,0.00081576244,0.00020670997
73,MGAT4C,0.003175678,0.004976921,0.8928448,2.535961,1.5955251,0.6402853898591252,45.310925,2,0,0.0055742282,0.0008581443
74,DAAM2,0.0031616276,0.003622775,1.3933853,1.8989629,1.7125901,0.5580504725795259,34.759007,1,1,0.0025999807,0.00097139645
75,SLC25A48,0.0031218627,0.00078959356,51.130955,7.9873557,2.645279,0.8656868183963462,97.315674,1,1,1.5442474e-05,3.1114018e-06
76,MROH7,0.003107764,0.0015389054,6.534286,5.2903733,2.6157775,0.8286640325095143,84.827034,1,1,0.0002355123,3.9323284e-05
77,TCF7L2,0.0030659423,0.0025657672,2.3033652,1.8779284,2.3375852,0.37845662755141296,34.429115,1,1,0.0011139209,0.0006980787
78,GRAMD2B,0.0030349155,0.002951077,1.7966144,2.5326376,2.2317889,0.5967822280652697,45.25384,1,1,0.0016425765,0.0005100122
79,ITPRID1,0.002910718,0.00068197935,70.38192,8.4285555,2.6454759,0.8685257980648282,98.00888,1,1,9.689596e-06,1.9792528e-06
80,STON2,0.0028535074,0.0016264657,4.780106,4.0486197,2.5911782,0.7289235370252045,70.273994,1,1,0.00034025716,9.82853e-05
81,SFXN5,0.0028512808,0.0027143473,1.8589318,2.8274183,2.3088949,0.6191454199499307,50.34768,1,1,0.001460165,0.00038240853
82,LIFR,0.0027639812,0.0023075652,2.3127916,2.452031,2.2849462,0.5644355464546269,43.873642,1,1,0.0009977401,0.00042171503
83,ETNPPL,0.0027274874,0.0006698256,57.670464,7.7767797,2.6453142,0.8628137355191441,96.90688,1,1,1.16146075e-05,3.054243e-06
84,SLC39A11,0.0027156833,0.0031964278,1.33871,1.8294383,1.8596948,0.49605378086948937,33.674355,1,1,0.0023876927,0.00089939206
85,FARP1,0.0026651006,0.0020728768,2.6172042,2.714237,2.3023117,0.6166284780346858,48.386963,1,1,0.00079201936,0.0003158687
86,AQP4-AS1,0.002634642,0.0026179396,1.7356799,3.1750998,2.2537172,0.7181190003680424,56.338264,1,1,0.0015083078,0.00028984057
87,CDH23,0.0026139955,0.0011254747,9.201874,4.6026235,2.627546,0.750745543696312,77.632675,1,1,0.0001223092,4.6324112e-05
88,ARHGEF4,0.002573856,0.002426539,1.8884227,2.7995021,2.194106,0.6718706318730978,49.86393,1,1,0.0012849553,0.00034854034
89,SLC24A4,0.0025550553,0.0011505715,8.213628,5.492845,2.6261933,0.8340748593940337,86.5465,1,1,0.0001400807,2.5550582e-05
90,BAALC,0.0025458091,0.0019490971,2.6919248,3.4946918,2.478126,0.7016026741041428,61.690353,1,1,0.00072405324,0.00017291242
