marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,CNTN4,0.11894127,0.054099876,8.011933,5.1577315,2.6253042,0.810716937788794,83.60541,1,1,0.0067524123,0.0015155292
2,CDH12,0.08786039,0.034463014,11.799562,5.6707225,2.6376426,0.8179257287883945,87.91852,1,1,0.0029207028,0.00067654345
3,MT-ND4,0.05263676,0.031470973,4.3257284,2.8638005,2.5963676,0.48883107410606974,50.978012,1,1,0.0072753,0.004323349
4,MT-ND3,0.050880816,0.031757455,3.9637878,2.6281931,2.580642,0.4519587504571747,46.89934,1,1,0.008011896,0.005136659
5,MT-ATP6,0.04350244,0.026962081,4.0201883,2.906996,2.6091304,0.4739014793143417,51.725967,1,1,0.0067066713,0.0035946816
6,MT-CO1,0.041962493,0.024589311,4.5098305,2.8556452,2.6020856,0.4795887429062715,50.83673,1,1,0.0054523805,0.0033971246
7,MT-CYB,0.036788106,0.027298814,2.8482103,2.776244,2.5361614,0.5009787213852972,49.460907,1,1,0.00958455,0.003984842
8,CNTN5,0.027897978,0.008151909,29.638674,6.4530334,2.6439528,0.8392745011677913,92.60126,1,1,0.0002750429,9.304696e-05
9,PCDH15,0.027545583,0.033097025,1.2985251,2.9967806,2.0107431,0.7362983194156434,53.277786,1,1,0.025488168,0.0041463706
10,STXBP5-AS1,0.024611518,0.007818069,22.29014,5.462519,2.6438215,0.7767608910424844,86.299835,1,1,0.00035074106,0.00017730342
11,PPP2R2B,0.016094971,0.021735456,1.0969709,1.2603984,1.3724623,0.4224099375590391,25.497192,1,1,0.019814067,0.009073002
12,RBFOX1,0.01393971,0.017996743,1.1696557,2.400611,1.8652258,0.6474856227777821,42.997982,1,1,0.015386361,0.0034083016
13,FRAS1,0.01189554,0.0037266081,23.338404,5.572914,2.6423137,0.7981195317491485,87.17969,1,1,0.00015967697,7.828866e-05
14,CNKSR3,0.010097735,0.004406117,8.892271,3.949526,2.6224446,0.6644833719053811,68.819466,1,1,0.0004954995,0.00028518724
15,NCAM2,0.009790319,0.014245647,0.9882402,1.3296592,1.407077,0.3889933461984981,26.419834,2,0,0.014415166,0.0056678047
16,SLC24A2,0.009690102,0.015297591,0.88408023,1.7310249,1.3366379,0.5329780414887699,32.168148,2,0,0.017303396,0.004608214
17,NKAIN2,0.009164604,0.015366704,0.81555945,1.6575481,1.2304367,0.5373199390055926,31.067074,2,0,0.018841919,0.004870898
18,NPSR1,0.008842614,0.0020407084,75.18084,8.044375,2.6454942,0.8640923280475885,97.41698,1,1,2.7143897e-05,7.729956e-06
19,HMCN1,0.007905687,0.002409225,25.613628,5.5174375,2.643068,0.788093302121015,86.74374,1,1,9.406018e-05,5.2597177e-05
20,PITPNC1,0.0058078994,0.011612961,0.6489228,1.1963335,0.86807245,0.4409874134954621,24.662857,3,0,0.01789575,0.0050676977
21,LINC00923,0.005259694,0.0020063662,12.756379,5.365108,2.6332934,0.8149081648362495,85.48181,1,1,0.00015728326,4.8680035e-05
22,ELMO1,0.004983103,0.0076486245,0.9184223,0.8966699,0.9317828,0.29716992390930613,21.008951,3,0,0.008328004,0.0041082683
23,PDE10A,0.0046697613,0.003741168,2.4840991,3.0002751,2.3984342,0.6547785852960049,53.338085,1,1,0.001506046,0.00046755673
24,CHSY3,0.0045006243,0.003663069,2.4166088,2.8743954,2.4121802,0.6178250663544032,51.161522,1,1,0.001515789,0.0004995348
25,DLG1,0.0042660614,0.0068085617,0.87118703,1.1361115,1.0734032,0.339297894223628,23.895493,3,0,0.00781527,0.0030977882
