marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,PLXDC2,0.06302641,0.03652556,4.615568,3.8805645,2.589421,0.7012707999887424,67.78464,1,1,0.007913556,0.0024798797
2,DLEU1,0.04559525,0.013641099,27.289505,5.5567427,2.6451414,0.7664364870387257,87.05387,1,1,0.00049986603,0.00028980314
3,LNCAROD,0.04448629,0.0059086774,1860.1992,13.668324,2.645751,0.874865679617832,99.94627,1,1,3.176268e-06,4.5375256e-07
4,LRMDA,0.034141123,0.021486465,3.8986492,3.921594,2.5587456,0.7358524827692634,68.40251,1,1,0.0055112587,0.0014179063
5,LINC02232,0.027744181,0.0039623734,1097.7292,12.570883,2.64575,0.8746530281205136,99.8851,1,1,3.609509e-06,6.5114233e-07
6,LY86,0.027633661,0.0016620598,16620598.0,23.98647,2.6457505,0.875,99.99999,1,1,0.0,0.0
7,ITPR2,0.026759366,0.015235637,4.791357,3.1458418,2.5919163,0.5529918415559902,55.838776,1,1,0.0031798168,0.0017213447
8,GRID2,0.026514253,0.027800646,1.5953671,2.331992,2.120599,0.5758752599272741,41.836315,1,1,0.017425861,0.0055214777
9,RGS1,0.02424312,0.0014690392,14690392.0,23.80837,2.6457508,0.875,99.99999,1,1,0.0,0.0
10,LINC02712,0.02329607,0.0027812957,4340.5083,14.889653,2.6457508,0.8749423725129399,99.97697,1,1,6.406765e-07,9.1525216e-08
11,MEF2C,0.023237197,0.012751098,5.1864924,4.575618,2.599287,0.7862266194501708,77.30593,1,1,0.0024585205,0.0005347481
12,P2RY12,0.022822399,0.004632097,136.96664,8.947041,2.6456726,0.8692377958454098,98.60155,1,1,3.3819066e-05,9.385242e-06
13,C1QB,0.021811139,0.0013297002,13297002.0,23.664598,2.645751,0.875,99.99999,1,1,0.0,0.0
14,MEF2A,0.017330889,0.010786681,3.9862955,3.412469,2.5911598,0.5872264987511211,60.33476,1,1,0.0027059412,0.0010130533
15,SYNDIG1,0.014720048,0.007936464,5.390013,3.5358472,2.568397,0.6617032096811764,62.362247,1,1,0.0014724386,0.0006842753
16,BLNK,0.014247017,0.0028564357,145.59747,9.13171,2.6456656,0.8705334135446767,98.76751,1,1,1.9618617e-05,5.092105e-06
17,TBXAS1,0.014218663,0.0049984464,16.194962,5.9159694,2.6415625,0.8217050418064515,89.61098,1,1,0.000308642,8.278475e-05
18,RASGEF1C,0.0137619525,0.0048518283,16.055058,5.399002,2.639567,0.8008006765533882,85.77094,1,1,0.0003021993,0.00011498562
19,BMP2K,0.013143466,0.0063625663,6.8912077,3.728845,2.6230638,0.624501356794017,65.446594,1,1,0.0009232874,0.00047988602
20,ST6GAL1,0.012729185,0.0072224597,4.826664,4.1829596,2.5848594,0.7569310026353318,72.18179,1,1,0.0014963667,0.00039763874
21,C3,0.012426626,0.0036160739,30.077892,7.5110235,2.6443577,0.864257445961832,96.30429,1,1,0.00012022354,1.982402e-05
22,MS4A6A,0.012091567,0.000762991,7629910.0,22.863235,2.6457503,0.875,99.999985,1,1,0.0,0.0
23,SLCO2B1,0.012038884,0.0034560675,31.570446,7.730926,2.644455,0.8667166277849738,96.81011,1,1,0.000109471504,1.6268179e-05
24,ATP8B4,0.011991949,0.0048408555,10.90832,6.0702496,2.6349528,0.8480468232054366,90.565216,1,1,0.00044377634,7.204341e-05
25,KCNQ3,0.01181822,0.009145182,2.6411123,3.7640553,2.4710064,0.7369696088840796,65.996414,1,1,0.003462625,0.00067312963
26,FGL1,0.011146457,0.0007067673,7067673.0,22.752804,2.6457503,0.875,99.999985,1,1,0.0,0.0
27,KYNU,0.01112085,0.0018949499,352.78085,11.269822,2.6457405,0.8742933207884107,99.71734,1,1,5.3713648e-06,7.6733784e-07
28,SH3TC1,0.0110580865,0.0007014969,7014969.0,22.742006,2.64575,0.875,99.999985,1,1,0.0,0.0
29,HLA-DRB1,0.010485897,0.00066731346,6673134.5,22.669933,2.6457503,0.875,99.999985,1,1,0.0,0.0
30,CYFIP1,0.010337433,0.005228775,6.2212467,4.356883,2.608995,0.7529134730417439,74.53666,1,1,0.0008404705,0.00025518044
31,ADAM28,0.010048155,0.003678761,14.354313,6.605344,2.639419,0.8574624448268184,93.29283,1,1,0.00025628254,3.7782767e-05
32,SORL1,0.009874952,0.008365267,2.255906,2.9204886,2.4096818,0.6152784636427884,51.959454,1,1,0.0037081626,0.0011049054
33,SYK,0.009616003,0.0040410436,9.80041,5.416638,2.6299531,0.8256257863818,85.91948,1,1,0.00041233402,9.460687e-05
34,MSR1,0.009612021,0.002012797,117.564224,9.052478,2.6456454,0.8705930036988816,98.69884,1,1,1.7120728e-05,3.7907153e-06
35,RGS10,0.009554247,0.0016767585,297.28403,10.67747,2.6457365,0.8737095312011423,99.57443,1,1,5.6401577e-06,1.0237394e-06
