marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,LHFPL3,0.10471118,0.029354507,34.41462,7.5750084,2.6447368,0.8613048928495695,96.45892,1,1,0.0008529661,0.0001539465
2,NXPH1,0.042626224,0.008479831,151.44101,8.68382,2.6456606,0.8672860994205605,98.32631,1,1,5.5994184e-05,2.0620295e-05
3,TNR,0.04067063,0.020835033,6.042978,4.915886,2.610381,0.8084739894424402,81.17655,1,1,0.0034478088,0.0006901841
4,VCAN,0.0403313,0.012530958,23.991426,7.108647,2.643608,0.859055984123086,95.17281,1,1,0.00052230974,9.079623e-05
5,SOX6,0.034003098,0.015778132,7.628559,4.9924445,2.6252205,0.7940682322865886,81.97402,1,1,0.0020682977,0.0004956556
6,FGF12,0.022996286,0.016496036,3.0311399,4.1444936,2.507479,0.7834652438800631,71.64325,1,1,0.005442189,0.00093274453
7,MMP16,0.022253817,0.013260477,4.3559403,4.178434,2.5619395,0.7734886314433445,72.118744,1,1,0.0030442285,0.0007323608
8,DCC,0.020603318,0.01002687,6.8053594,4.996834,2.6198719,0.7994925021797401,82.01895,1,1,0.0014733784,0.000314028
9,BRINP3,0.019377999,0.009731143,6.325332,4.7088017,2.6066418,0.7982861770735965,78.88459,1,1,0.0015384397,0.00037211154
10,PTPRZ1,0.018634232,0.016837655,2.0243614,3.1782825,2.3463066,0.693341792377659,56.39251,1,1,0.008317514,0.001860044
11,LUZP2,0.017302264,0.014592407,2.2729876,2.971486,2.3023396,0.6755466804888381,52.84111,1,1,0.0064199236,0.0018604605
12,ERBB4,0.017221248,0.019265506,1.4446213,2.1906006,1.9006821,0.5947291266498,39.472313,1,1,0.013336025,0.0042203055
13,NOVA1,0.0153917065,0.010570196,3.2893786,3.5091197,2.5295973,0.6851360545983076,61.926426,1,1,0.0032134326,0.0009283948
14,DMD,0.015386255,0.010234715,3.4966824,2.6800973,2.5074244,0.5193646845810855,47.796227,1,1,0.0029269787,0.0015969306
15,PDGFRA,0.01502569,0.0028510394,193.46452,9.589681,2.6457052,0.8717793109331047,99.099724,1,1,1.4736655e-05,3.70007e-06
16,PDZRN4,0.014573043,0.0050762165,16.65197,5.6302824,2.6405957,0.8131535830047334,87.61759,1,1,0.00030484173,0.00010248394
17,PCDH15,0.014554728,0.025488168,0.7701045,2.284021,1.4067811,0.6442610294886879,41.02946,2,0,0.033097025,0.0052333507
18,EPN2,0.014374739,0.008035842,4.982436,3.0412054,2.582952,0.5395656721181912,54.043472,1,1,0.0016128338,0.0009761966
19,TMEM132D,0.014342205,0.0040433095,33.71406,7.4935813,2.6446545,0.862911177275939,96.26102,1,1,0.00011992937,2.2435841e-05
20,MEGF11,0.013307745,0.004345535,20.378698,7.1563406,2.642592,0.8633061664840123,95.32245,1,1,0.00021323898,3.0462712e-05
21,KCNMB2,0.012423208,0.012923218,1.6151178,3.3538313,2.1997652,0.7559535223821141,59.35809,1,1,0.0080014095,0.0012640575
22,SORCS3,0.011814146,0.002500253,111.7508,8.86669,2.6456225,0.8698173216815313,98.522644,1,1,2.2373368e-05,5.355948e-06
23,NCAM2,0.010077346,0.014415166,1.0118997,1.3529031,1.4388567,0.44456382422685503,26.73422,1,1,0.014245647,0.005643587
24,ZBTB20,0.009675463,0.013247081,1.0758785,0.6594017,1.419949,0.18939511123797148,18.409477,1,1,0.012312804,0.008387268
25,TMEM132C,0.0095114475,0.0043271463,8.007772,5.233339,2.6264565,0.8145188638139815,84.311165,1,1,0.0005403682,0.000115029514
26,SEMA5A,0.008562068,0.007375061,2.1929617,3.2434757,2.392234,0.6908825569428363,57.50037,1,1,0.0033630596,0.00077872135
27,GRID2,0.008479844,0.017425861,0.62681496,1.3150635,0.99202347,0.5038908524363648,26.223629,2,0,0.027800646,0.00700359
28,SMOC1,0.008345115,0.0030544663,14.365156,5.2829175,2.638329,0.7953976437036534,84.76039,1,1,0.00021263013,7.845454e-05
29,ADAMTS17,0.007962818,0.0043151486,5.3301086,3.7721233,2.6106105,0.6513741489861864,66.1218,1,1,0.00080957974,0.00031584455
30,XYLT1,0.006874365,0.0067801066,1.7563359,2.6642392,2.2758348,0.5914804173516919,47.52203,1,1,0.0038603703,0.0010695979
31,KIF13A,0.006511717,0.0049872184,2.6902018,2.5109274,2.399457,0.5317393309486249,44.881306,1,1,0.0018538453,0.0008749714
32,CHST9,0.0060917917,0.0023245711,12.744089,6.3077917,2.63786,0.8520260134334467,91.881256,1,1,0.00018240376,2.9343157e-05
33,SPATA6,0.0058798864,0.0038155178,3.6694698,2.5721772,2.5330484,0.46924453443898795,45.933685,1,1,0.0010398007,0.00064158015
34,LINC01322,0.0057973303,0.0029696638,6.0440555,4.8209496,2.61118,0.79996244389887,80.15036,1,1,0.00049133616,0.000105064595
35,ALCAM,0.005765688,0.006488975,1.4315673,1.866543,1.9429449,0.4860198725942031,34.251175,1,1,0.004532777,0.0017794698
36,SGCD,0.005698676,0.005043908,2.0950797,2.5347586,2.31523,0.5739205610121434,45.29027,1,1,0.002407502,0.00087041984
37,RIT2,0.0056618424,0.0020627182,14.562208,6.2472544,2.6397681,0.8473687797162761,91.56269,1,1,0.00014164862,2.7153597e-05
38,ARPP21,0.005355121,0.004301278,2.4729593,3.3112452,2.4319355,0.6938025102421612,58.644062,1,1,0.0017393241,0.00043332455
39,KHDRBS3,0.0053148763,0.0034766512,3.612336,3.8854902,2.5542793,0.7241862812179753,67.85916,1,1,0.00096243835,0.00023524037
40,CSMD2,0.005225978,0.0028302849,5.337279,4.368813,2.6055436,0.7483117016050604,74.6933,1,1,0.000530286,0.00013698913
41,LINC00511,0.0050988463,0.0038683536,2.7362862,3.4349673,2.4704137,0.6998574615506712,60.707367,1,1,0.0014137239,0.00035768264
42,CACNG4,0.0049695745,0.001240535,53.92634,8.560236,2.6453028,0.8704484977395766,98.17938,1,1,2.3004151e-05,3.2863074e-06
