marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,ST18,0.019100545,0.022611193,1.3273691,3.190708,2.0309517,0.76224954825259,56.604187,1,1,0.017034594,0.002476422
2,CTNNA3,0.016396495,0.022135362,1.097482,2.6909242,1.8363199,0.7034114353520176,47.983505,1,1,0.020169226,0.0034279756
3,NKAIN2,0.015078709,0.018841919,1.2261522,2.1067762,1.6960412,0.6140799302921058,38.09296,1,1,0.015366704,0.0043744384
4,QKI,0.014978659,0.020285293,1.0925845,1.1076721,1.5226772,0.32944676868854517,23.538853,1,1,0.018566338,0.009413232
5,MAN2A1,0.013427111,0.012842492,1.8448839,2.993318,2.3137376,0.6334260589171414,53.218037,1,1,0.0069611385,0.0016127637
6,RNF220,0.01249903,0.015214787,1.2739204,2.8254702,1.9926791,0.7015668364528922,50.313915,1,1,0.011943279,0.0021464194
7,PLP1,0.012110583,0.015269363,1.2103027,3.0184343,1.9411815,0.7508616625567679,53.65122,1,1,0.012616152,0.001884437
8,MBP,0.011584721,0.014732848,1.1953009,2.5044863,1.9227474,0.6456001105628817,44.770874,1,1,0.012325639,0.0025963378
9,RBFOX1,0.009506604,0.015386361,0.8549525,2.024731,1.4837925,0.5665499199305594,36.761234,2,0,0.017996743,0.0037812132
10,LINC00609,0.008480081,0.0062307264,2.9001307,3.7059984,2.497316,0.7317481396141339,65.08761,1,1,0.0021484294,0.0004774434
11,PEX5L,0.007431923,0.010435009,1.0384923,2.5323217,1.7677944,0.6882309284116026,45.24842,1,1,0.010048229,0.0018037985
12,DOCK10,0.007316247,0.009370878,1.1830935,1.1832057,1.6774231,0.32316411054033756,24.494175,1,1,0.007920657,0.0041266712
13,MAP7,0.007301903,0.008266664,1.4188567,2.0451417,1.8208057,0.5704512737483833,37.090744,1,1,0.005826285,0.0020030015
14,MOBP,0.007063992,0.0071853823,1.6727446,3.5039234,2.2229247,0.7730103872303022,61.841465,1,1,0.0042955643,0.0006333791
15,CNTNAP4,0.006758183,0.005767982,2.2273843,2.8880033,2.2535033,0.6750574630122912,51.397167,1,1,0.0025895764,0.00077919866
16,SLC44A1,0.0064017368,0.009075807,1.0245811,2.119067,1.7513788,0.5574263623065752,38.29407,1,1,0.008858067,0.0020892122
17,LINC01505,0.006371753,0.004408093,3.2438328,2.8354936,2.4411016,0.5925867569808856,50.48759,1,1,0.0013589149,0.00061756413
18,NCKAP5,0.0060869916,0.010069739,0.83030665,1.6585631,1.3417213,0.5159212632429355,31.082148,2,0,0.012127735,0.0031896348
19,SLC24A2,0.006023905,0.011679046,0.67495686,1.1882565,0.8195227,0.45683832127608853,24.558983,3,0,0.017303396,0.005125149
20,PPP2R2B,0.0059781694,0.0128613515,0.5917222,0.3147041,0.27320588,0.26400621097439947,15.087255,4,0,0.021735456,0.010340731
21,TF,0.005781373,0.0057085543,1.7531787,3.4193923,2.2605195,0.7470219475301287,60.449554,1,1,0.0032561165,0.0005335638
22,PCSK6,0.0057387473,0.0044704946,2.6099503,3.751819,2.4616032,0.7543661353792901,65.80582,1,1,0.0017128657,0.00033185276
23,DPYD,0.0057137827,0.006489386,1.4120604,1.7675024,1.8188368,0.48039863521468384,32.72233,1,1,0.0045956858,0.0019060414
24,GPM6B,0.0056014056,0.007048185,1.2138437,1.9875873,1.7847369,0.575429213947001,36.16478,1,1,0.005806501,0.0017772719
25,DLG1,0.0055529117,0.00781527,1.0350509,1.4036391,1.4062115,0.45239719229817066,27.42866,1,1,0.007550614,0.002953973
26,EDIL3,0.0053296834,0.007823162,0.9763857,1.990687,1.5934242,0.5390212225603791,36.21439,2,0,0.008012368,0.0019684564
27,LMCD1-AS1,0.005123755,0.0057690605,1.4306135,1.5384829,1.8086979,0.41428787000895206,29.327826,1,1,0.004032578,0.0019859832
28,FRYL,0.0050692665,0.005821501,1.3887817,1.6083504,1.9968964,0.39012013274543555,30.34154,1,1,0.004191804,0.0019092959
29,ELMO1,0.005020376,0.0076815565,0.9223767,0.90452135,0.9416883,0.3466982445608572,21.099407,2,0,0.008328004,0.0041035637
30,RAPGEF5,0.0049628313,0.004736567,1.8512846,2.5769136,2.1359944,0.6356950257152096,46.01523,1,1,0.0025585298,0.00079384435
31,SLC5A11,0.0049196538,0.0037392902,2.7272294,4.1297784,2.473467,0.7949116258147639,71.435585,1,1,0.0013710947,0.00021360024
32,CDK18,0.004713601,0.004281122,2.0072322,3.758483,2.3384457,0.7853274974422555,65.90968,1,1,0.0021328484,0.0003163307
33,MVB12B,0.0046374775,0.0042150016,2.0048616,2.0676575,2.2670875,0.45691597203417356,37.455635,1,1,0.0021023904,0.0010054738
34,FBXO32,0.0044831824,0.0024412894,5.2739077,4.050823,2.6065238,0.7030006643694156,70.3059,1,1,0.00046289942,0.00014729894
35,SYNJ2,0.0042992407,0.0038528824,2.052163,3.4816325,2.359508,0.7317673399790203,61.4762,1,1,0.0018774738,0.00034491322
36,TMEM165,0.0040589315,0.0045744968,1.4285532,2.1467683,2.1370788,0.47590277620548127,38.7488,1,1,0.0032021885,0.0010330031
37,MAP4K4,0.0040062726,0.005168012,1.1710389,1.0647112,1.6173934,0.29252400831465786,23.00713,1,1,0.0044131856,0.002470663
38,ZEB2,0.003771036,0.006177994,0.84116423,1.144401,1.2508047,0.3602592566704001,24.000137,2,0,0.007344575,0.0027947854
39,GAB1,0.0036541286,0.004955184,1.0905674,1.6608646,1.7309164,0.459432421862938,31.116327,1,1,0.0045436756,0.0015670748
40,ATP8A1,0.0036450864,0.0044469247,1.2697893,1.5026459,1.5189495,0.476083131716857,28.81563,1,1,0.0035020963,0.0015693444
41,ZBTB20,0.0035208233,0.0076909303,0.58057547,-0.2554935,-0.43537182,0.0710231667142393,10.68809,6,0,0.013247081,0.009181002
42,FRMD4B,0.003506976,0.0053800913,0.9190748,1.9163283,1.5292722,0.532997906054703,35.032467,2,0,0.005853812,0.0014253361
