marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,SLC24A2,0.013092566,0.017303396,1.131119,2.001394,1.6232814,0.6091177617014514,36.386005,1,1,0.015297591,0.0043216706
2,CTNNA3,0.013063994,0.020169226,0.91117674,2.4431112,1.6157528,0.6154850059330154,43.72145,2,0,0.022135362,0.0037088522
3,PPP2R2B,0.01283835,0.019814067,0.9116011,1.0838748,1.1344552,0.3696086953641592,23.24327,2,0,0.021735456,0.009347485
4,QKI,0.012065408,0.018566338,0.91526103,0.9427739,1.247538,0.288265922602477,21.544195,2,0,0.020285293,0.009658797
5,NCKAP5,0.009586291,0.012127735,1.2043743,2.0663583,1.8003948,0.5896243008490691,37.434536,1,1,0.010069739,0.0028956353
6,ST18,0.0095656,0.017034594,0.75337,2.3797472,1.3880948,0.6669683547210162,42.643894,2,0,0.022611193,0.0032730792
7,LINC01608,0.008080153,0.004575735,4.8466563,4.9652376,2.5902202,0.8234254279761015,81.69369,1,1,0.00094410125,0.00014647891
8,PLP1,0.00759819,0.012616152,0.8262395,2.4786656,1.5014234,0.6570039547371719,44.32876,2,0,0.015269363,0.0022634673
9,MBP,0.0074930163,0.012325639,0.83660936,2.067664,1.4869002,0.5649000967425215,37.455734,2,0,0.014732848,0.0029402252
10,PHLPP1,0.0073426217,0.0074676555,1.6731476,2.0021129,2.1344495,0.4812717091829104,36.397533,1,1,0.0044632377,0.0018641817
11,RNF220,0.0069200112,0.011943279,0.7849784,2.1919906,1.4225726,0.6138709818962806,39.495335,2,0,0.015214787,0.0026137775
12,PEX5L,0.0067769326,0.010048229,0.9629344,2.4343016,1.6772596,0.6022020623601523,43.571262,2,0,0.010435009,0.0018590528
13,ZBTB20,0.006529228,0.010885749,0.821747,0.31927973,0.6314484,0.1420463334284786,15.127932,3,0,0.013247081,0.0087246
14,SHTN1,0.0064615575,0.006978263,1.5242778,2.4283464,2.0813136,0.6153683089588611,43.469803,1,1,0.004578078,0.0012964094
15,NKAIN2,0.0064369403,0.0125835715,0.6678498,1.2560804,0.8575565,0.4605599477190794,25.440376,3,0,0.018841919,0.0052684885
16,ELMO1,0.0061157853,0.008328004,1.0841558,1.0539318,1.1361315,0.3962265652124082,22.875046,1,1,0.0076815565,0.004011214
17,SIK3,0.0060392884,0.009665105,0.8679749,1.136287,1.341853,0.3271826477814501,23.897705,2,0,0.011135235,0.0043969355
18,SLC44A1,0.006033044,0.008858067,0.9760087,2.0627112,1.6889988,0.48774806701825324,37.375347,2,0,0.009075807,0.0021203181
19,KCNH8,0.005926481,0.005439947,1.9726006,2.834303,2.1925673,0.680395708230046,50.46696,1,1,0.002757754,0.0007627538
20,KIRREL3,0.005902277,0.004896529,2.3380945,3.2735524,2.4230807,0.6810861407450688,58.009018,1,1,0.0020942392,0.00050634996
21,TTLL7,0.0058791363,0.007315552,1.2336769,1.8918617,1.7003603,0.5600554836108507,34.64747,1,1,0.0059298766,0.0019712423
22,PRUNE2,0.0058726748,0.0066036694,1.4334372,2.6021967,2.076867,0.6450655389458777,46.450855,1,1,0.0046068775,0.001087542
23,ZEB2,0.005753494,0.007344575,1.1888285,1.4826418,1.7437148,0.41172486476617154,28.53205,1,1,0.006177994,0.002628131
24,ERBIN,0.0056562587,0.005754622,1.6722132,1.6160327,2.2435007,0.32689850822808464,30.4542,1,1,0.003441321,0.0018773379
25,EDIL3,0.0056500607,0.008012368,1.0241854,2.0451114,1.6522753,0.616024254354719,37.090252,1,1,0.007823162,0.0019414268
26,NCAM2,0.005374716,0.010112194,0.7014969,0.6922539,0.63217866,0.3334228681701413,18.753975,3,0,0.014415166,0.0062582977
27,PIP4K2A,0.005293083,0.008998678,0.8007562,1.4443033,1.256836,0.45511695552098375,27.99327,2,0,0.011237725,0.0033067404
28,DLG1,0.0051047453,0.007550614,0.96613604,1.3355895,1.3187188,0.3958475432608993,26.499817,2,0,0.00781527,0.0029917809
29,ERBB4,0.0050190943,0.011061799,0.5741764,1.036623,0.71624064,0.44604684498735003,22.66407,3,0,0.019265506,0.0053922636
30,PDE1C,0.0049381275,0.0049787452,1.6961957,2.5251591,2.1751368,0.6124013378100572,45.125458,1,1,0.0029352421,0.0008649105
31,DOCK10,0.0048522763,0.007920657,0.8452417,0.86997235,1.1472851,0.28276859672279536,20.703497,2,0,0.009370878,0.004333846
32,SEPTIN7,0.0047821794,0.0055858376,1.354023,1.5058014,1.8738588,0.38547199440319213,28.860512,1,1,0.004125364,0.0019669663
33,TCF12,0.004753311,0.0070806304,0.9568027,0.7615165,1.30278,0.21341978205553952,19.496477,2,0,0.007400303,0.0041766935
34,CREB5,0.004679919,0.004148027,2.0901754,2.3972285,2.1609964,0.5882478409992022,42.94053,1,1,0.0019845353,0.00078741525
35,FRMD4B,0.0043097576,0.005853812,1.0880507,2.1082523,1.7386255,0.6091404640625178,38.1171,1,1,0.0053800913,0.0013576617
36,C10orf90,0.004303647,0.005213232,1.2830765,2.6353972,1.9782665,0.6838464768110166,47.023727,1,1,0.0040630717,0.000839022
37,DOCK5,0.0042467723,0.0045465385,1.5448384,2.1337829,1.99157,0.5570961178755869,38.535393,1,1,0.002943051,0.0010359724
38,KLHL32,0.0041201613,0.0041282293,1.7129747,1.8205739,1.9820287,0.46349273107156064,33.537266,1,1,0.002409977,0.0011687359
39,SOX2-OT,0.0037117167,0.005397527,0.98907536,1.2124022,1.1061518,0.41508023843351444,24.870388,2,0,0.005457144,0.0023292997
40,TMEM144,0.0036919294,0.00516489,1.0438039,2.6734335,1.7774625,0.720596822471774,47.68099,1,1,0.004948142,0.00080961274
41,LPAR1,0.0036898411,0.0034850584,1.8827946,2.9479995,2.2034075,0.7036872291307297,52.43526,1,1,0.0018510028,0.0004516206
42,LIMCH1,0.0036678773,0.005078365,1.0590723,2.075751,1.7308028,0.5981484313462793,37.587147,1,1,0.004795107,0.0012046491
43,HDAC2-AS2,0.003625103,0.0029390682,2.4329474,2.9304404,2.4184105,0.6273947758011675,52.131622,1,1,0.0012080277,0.00038553082
44,HHIP,0.003606223,0.0028015242,2.6227596,3.7161276,2.4672148,0.7398311266914666,65.246994,1,1,0.0010681589,0.00021317108
45,GPM6B,0.0034893486,0.005806501,0.82382923,1.5707548,1.3042392,0.5035005622036258,29.793602,2,0,0.007048185,0.0019546554
46,ZNF536,0.0032070407,0.0039880206,1.2348375,2.4783866,1.9261848,0.6575064430496984,44.323994,1,1,0.0032295913,0.0007156301
47,MAP7,0.0031079943,0.005826285,0.7047928,1.308917,1.0100603,0.4991448645298354,26.141289,2,0,0.008266664,0.002351627
48,MAN2A1,0.0030149103,0.0069611385,0.5420395,1.5048012,0.9288515,0.5542478015524988,28.846281,2,0,0.012842492,0.0024529572
49,ENOX1,0.002999825,0.003357757,1.4434265,2.0651217,1.9986933,0.5377300042722637,37.414467,1,1,0.0023262405,0.0008023903
50,GAB1,0.0029567396,0.0045436756,0.9169539,1.4826552,1.490652,0.40200336913007073,28.53224,2,0,0.004955184,0.0016258617
51,AK5,0.0028774184,0.003614272,1.2169375,2.3968806,1.9415135,0.6120600327907904,42.934628,1,1,0.0029699733,0.0006862586
52,SLC7A14-AS1,0.002716529,0.0034866997,1.1795356,2.759586,1.9168234,0.6977764978817118,49.172314,1,1,0.0029559934,0.0005148684
53,FBXL7,0.002693204,0.004164877,0.9091283,1.2407367,1.2098225,0.41247455270269007,25.23917,2,0,0.004581176,0.0017623947
54,CNDP1,0.0026779515,0.003177312,1.3229444,3.1822374,2.0278726,0.7627872920054581,56.459915,1,1,0.0024016972,0.0003500345
55,SLCO3A1,0.0026666548,0.0038108889,1.0132415,1.277127,1.306047,0.4392152804655327,25.718084,1,1,0.0037610861,0.001572435
56,CNP,0.0025819966,0.0030426837,1.3363546,2.8388264,2.0433726,0.6880787491862139,50.54534,1,1,0.0022768534,0.00042528965
57,HS3ST5,0.002527942,0.0030611663,1.28373,3.0337574,2.0008445,0.7412635877766744,53.915234,1,1,0.0023845872,0.00037379615
58,DPYD,0.0024606744,0.0045956858,0.708185,1.0782236,0.9599926,0.4203488058128484,23.173462,2,0,0.006489386,0.0021765702
59,ENPP2,0.0024260955,0.0036912158,0.9295019,2.5139549,1.643332,0.6162019155058641,44.933216,2,0,0.003971176,0.0006462396
60,BCAS1,0.0024176342,0.0034448225,1.0174146,1.8679963,1.4138254,0.6161901040516851,34.273865,1,1,0.003385859,0.00094372156
61,ALCAM,0.0024013116,0.004532777,0.6985351,1.1385026,1.020607,0.42526738851992774,23.925646,2,0,0.006488975,0.0020589267
62,QDPR,0.0023866969,0.0025025855,1.5952748,2.6209958,2.1718383,0.6256281433533288,46.775127,1,1,0.0015687487,0.00040680898
63,POLR2F,0.0023407103,0.0026755333,1.3985332,2.4819734,2.0552123,0.6125284549779466,44.38535,1,1,0.0019130994,0.00047891875
64,MAP4K4,0.0023062606,0.0040131905,0.7765444,0.60659766,0.8260129,0.2193930062359934,17.866056,3,0,0.005168012,0.0026356375
65,FRYL,0.0022734527,0.004191804,0.7200556,0.968539,1.0462202,0.3413551161522561,21.847593,2,0,0.005821501,0.0021421097
66,OPALIN,0.0022713281,0.00075222796,19.480389,6.232944,2.6408887,0.8441695809823893,91.48578,1,1,3.861453e-05,1.0000968e-05
67,CERCAM,0.0022411281,0.0028234692,1.2116742,2.6963863,1.9441227,0.6819700695604707,48.078007,1,1,0.0023302215,0.00043560198
68,TJP1,0.002187018,0.0045305258,0.6204914,0.8084086,0.75253254,0.38608120103021654,20.011688,2,0,0.007301513,0.0025869817
69,DNAJC6,0.0021714245,0.0032959613,0.9324985,1.4664242,1.2437997,0.47082279308286795,28.303385,2,0,0.0035345487,0.0011927362
70,PXK,0.0021657853,0.0033580975,0.9058805,1.7665324,1.4936525,0.4998989931897101,32.707527,2,0,0.0037069982,0.0009869928
71,SGK1,0.002122812,0.0029513733,1.0529184,1.9693011,1.7094746,0.5695467754748398,35.87268,1,1,0.002803041,0.0007537119
72,DOCK1,0.0020967897,0.00288003,1.0710264,1.2911308,1.2815473,0.4632426435747081,25.903957,1,1,0.0026890372,0.0011768683
73,HIP1,0.0020942392,0.0030384623,0.9922071,1.2977498,1.2782094,0.4024536835992195,25.992113,2,0,0.0030623267,0.0012359252
74,LINC00639,0.0020709243,0.0027487532,1.1242205,2.6896636,1.8512554,0.7151120682679664,47.9617,1,1,0.0024450303,0.00042605554
75,LAMP2,0.0020416821,0.0020511867,1.7057153,2.274633,2.245055,0.5092684068292004,40.872116,1,1,0.0012025374,0.00042390873
76,CLMN,0.0020227148,0.0024070274,1.3171484,2.376646,1.8798336,0.6467664408029683,42.59133,1,1,0.0018274533,0.00046348877
77,AMER2,0.0020162174,0.0016339975,2.4346566,2.7042236,2.347015,0.6092474364312723,48.21364,1,1,0.00067114073,0.00025072572
78,MOBP,0.0020130738,0.0042955643,0.59781986,2.0376747,1.1024215,0.6763840888265145,36.97006,2,0,0.0071853823,0.0010462103
79,ARAP2,0.0020057592,0.0038285383,0.6885951,0.9959949,1.0222802,0.3540427245924658,22.174278,2,0,0.005559927,0.0019195906
80,CDK19,0.0019855811,0.0027616138,1.0523655,1.2854878,1.6045563,0.3670280914029891,25.82895,1,1,0.0026241965,0.0011329025
81,CDH20,0.0019855376,0.0049363584,0.49515098,0.7268491,0.50108546,0.42160942563443415,19.122087,3,0,0.0099694,0.002982657
82,PLEKHH1,0.0019564934,0.0031340271,0.86689115,1.7827681,1.4083259,0.5306751648266669,32.9557,2,0,0.0036152487,0.00091082725
83,ATP8A1,0.0019290808,0.0033981923,0.76416683,0.9830607,0.88628644,0.35706234878764276,22.019949,3,0,0.0044469247,0.0017191634
84,CNTN2,0.0017093215,0.0022479843,1.1390883,2.9245808,1.8777041,0.7455622350757702,52.030266,1,1,0.0019734944,0.0002960783
85,SLCO1A2,0.0017035916,0.0017205453,1.6916281,3.114983,2.2257173,0.7194555686047419,55.31069,1,1,0.0010170942,0.0001985924
86,TMEM165,0.0016991885,0.0032021885,0.7000089,1.3815178,1.1906723,0.4164149291797961,27.124504,2,0,0.0045744968,0.0012290472
87,PTPRK,0.0016875631,0.005894231,0.33150196,0.6105669,0.31791383,0.5642139292143706,17.906466,2,0,0.01778038,0.0038603637
88,NEO1,0.0015924295,0.0021437719,1.1018474,1.2821721,1.5901834,0.3786155325601239,25.784948,1,1,0.0019456157,0.0008814674
89,CPQ,0.0015886758,0.0018868091,1.3209828,1.0472991,1.5552086,0.2915863228962461,22.794037,1,1,0.0014283373,0.0009129763
90,SH3D19,0.0015818443,0.0025768701,0.847554,1.3715986,1.2532188,0.4478316913772922,26.98881,2,0,0.003040361,0.0009958643
91,COBL,0.0015608678,0.0025378906,0.849704,1.7974117,1.2912374,0.5668294497510166,33.180355,2,0,0.0029867936,0.0007301263
