marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,DLC1,0.09959122,0.046807572,7.3953085,4.5432086,2.622522,0.7569773189098246,76.90939,1,1,0.0063293604,0.0020075857
2,ATP1A2,0.052026827,0.02190806,9.748651,5.7831035,2.6321664,0.8408021056004993,88.72178,1,1,0.0022472916,0.0003978471
3,SLC38A11,0.04926511,0.0061875777,2868.629,14.293099,2.6457512,0.874912864633995,99.96516,1,1,2.1568808e-06,3.0812583e-07
4,EBF1,0.04768386,0.011082946,72.880844,8.636142,2.6455212,0.8692593301711904,98.27104,1,1,0.0001520693,2.7855815e-05
5,LAMA2,0.04469756,0.018957682,9.567195,5.8864975,2.6318052,0.8424810561428873,89.41925,1,1,0.0019815299,0.0003204592
6,LINC02147,0.04153363,0.005761223,1350.7683,12.846219,2.6457505,0.8747101936362391,99.90504,1,1,4.265045e-06,7.822795e-07
7,EPS8,0.038223464,0.015859332,10.135699,4.4579487,2.632704,0.7218607893394076,75.84324,1,1,0.0015647002,0.00072162
8,GRM8,0.036900837,0.009556993,46.51923,7.505506,2.6451516,0.8596510350613469,96.29064,1,1,0.00020544167,5.2594212e-05
9,HTR1F,0.03272594,0.006422367,162.30507,10.149898,2.6457021,0.8734691446463234,99.38765,1,1,3.9569626e-05,5.652804e-06
10,SLC19A1,0.03197818,0.00912383,32.27836,7.1007624,2.6446986,0.8516254735268913,95.14764,1,1,0.00028266083,6.647127e-05
11,NOTCH3,0.031048778,0.0051627173,408.13217,11.159847,2.6457434,0.874085593440985,99.695,1,1,1.2649521e-05,2.2563702e-06
12,COBLL1,0.03002889,0.0064026476,107.861244,9.410265,2.6456423,0.8722026224399944,98.9817,1,1,5.935994e-05,9.409858e-06
13,SLC6A12,0.028393831,0.005483219,176.3835,9.068294,2.6457093,0.8685632974055417,98.71283,1,1,3.1086816e-05,1.0214164e-05
14,PTPRK,0.024722358,0.01778038,3.0165732,3.0396192,2.4412556,0.6448159191021379,54.016167,1,1,0.005894231,0.0021623424
15,COLEC12,0.023779618,0.010778815,8.080634,5.6781774,2.625947,0.8404946434662961,87.97329,1,1,0.0013339069,0.0002105082
16,ITIH5,0.023511734,0.006504091,36.148174,7.6849465,2.644804,0.8645458449358949,96.710205,1,1,0.00017992851,3.1607186e-05
17,COL1A2,0.023262005,0.001412922,14129220.0,23.752178,2.6457508,0.875,99.99999,1,1,0.0,0.0
18,RGS5,0.020671377,0.0055880602,39.415142,6.551175,2.645045,0.8308140746409793,93.05405,1,1,0.00014177435,5.958818e-05
19,PDE7B,0.020650122,0.012194595,4.437846,3.5468326,2.5387604,0.6901835391051894,62.5408,1,1,0.0027478635,0.0010434326
20,SLC12A7,0.018796673,0.0035394528,201.47482,10.355404,2.6457198,0.8735769129536819,99.46853,1,1,1.7567618e-05,2.7016736e-06
21,TBX3,0.018356793,0.001130304,11303039.0,23.430208,2.6457508,0.875,99.999985,1,1,0.0,0.0
22,PTH1R,0.017883189,0.0048925593,37.674507,7.6812344,2.6448717,0.8645389163813253,96.702,1,1,0.00012986382,2.3837041e-05
23,PDGFRB,0.017204575,0.005944886,17.065655,6.7185316,2.6413617,0.8574308880208827,93.767395,1,1,0.0003483537,5.6449913e-05
24,PRKG1,0.016683988,0.01616187,1.8075314,2.9187725,2.196441,0.6955315105798947,51.929752,1,1,0.008941405,0.0021372414
