marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1,SKAP1,0.08144054,0.014628792,260.68466,10.308428,2.6457336,0.8730118493730659,99.45102,1,1,5.6116714e-05,1.1536096e-05
2,CCL4,0.06378465,0.0036623736,36623736.0,25.126276,2.645751,0.875,100.0,1,1,0.0,0.0
3,IL7R,0.0632565,0.0036336887,36336890.0,25.114931,2.645751,0.875,100.0,1,1,0.0,0.0
4,CD69,0.046670858,0.0027259558,27259558.0,24.700258,2.645751,0.875,100.0,1,1,0.0,0.0
5,SYTL3,0.04603803,0.009516199,125.1989,9.496685,2.6456726,0.8719714799583453,99.04034,1,1,7.6008546e-05,1.3172654e-05
6,CNOT6L,0.03658729,0.014514814,11.437126,4.88793,2.6387193,0.7469941469610129,80.87866,1,1,0.0012690962,0.00049022766
7,PRF1,0.035860524,0.002125437,21254368.0,24.341255,2.645751,0.875,100.0,1,1,0.0,0.0
8,THEMIS,0.0338436,0.0064344928,191.42662,9.562822,2.6457126,0.8714616599780596,99.08295,1,1,3.3613265e-05,8.507713e-06
9,IKZF3,0.033478785,0.004433051,1903.712,13.701583,2.6457508,0.8748688554346351,99.94751,1,1,2.3285354e-06,3.3264791e-07
10,MCTP2,0.033303168,0.005835478,299.97165,10.88879,2.6457372,0.8739911691519857,99.63219,1,1,1.9453333e-05,3.0775839e-06
11,RUNX3,0.030349186,0.0018157308,18157308.0,24.114048,2.6457508,0.875,99.99999,1,1,0.0,0.0
12,PRKCH,0.025885485,0.012144867,7.426596,5.2588778,2.622795,0.8219212523879356,84.54389,1,1,0.0016353207,0.0003171851
13,IQGAP2,0.024312131,0.008015641,19.761208,6.2738585,2.6421742,0.8422787900369095,91.70405,1,1,0.00040562497,0.00010359009
14,PTPRC,0.023649944,0.015571151,3.5668824,4.6370254,2.5417802,0.8198787159413206,78.043976,1,1,0.004365479,0.00062580203
15,SAMD3,0.020643283,0.0036476785,285.9457,10.966885,2.6457353,0.8741288254746,99.65151,1,1,1.2756442e-05,1.8223488e-06
16,PTPN22,0.02018903,0.0043676193,100.741325,9.148751,2.6456294,0.8711869061071913,98.7818,1,1,4.3354696e-05,7.69468e-06
17,AOAH,0.018694015,0.013293156,3.0807822,4.141609,2.5132291,0.7751492637074879,71.602615,1,1,0.004314864,0.0007531466
18,MYBL1,0.018501928,0.004319494,71.48323,7.841369,2.6455402,0.8590262140548293,97.03823,1,1,6.0426577e-05,1.883403e-05
19,SLFN12L,0.018439323,0.0030881495,390.89526,10.532563,2.6457422,0.8730326612463915,99.52966,1,1,7.9000965e-06,2.0847785e-06
20,ARHGAP15,0.017823815,0.016783506,1.8921032,3.7046807,2.3034372,0.78554441542519,65.06684,1,1,0.008870291,0.0012872493
21,ITK,0.017731497,0.002352849,1873.6576,12.9734955,2.6457505,0.8746986791811251,99.91307,1,1,1.2556519e-06,2.9243827e-07
22,NKG7,0.017279163,0.0023700169,1465.6466,13.3241415,2.6457503,0.8748295000671373,99.931816,1,1,1.6169453e-06,2.3099219e-07
23,CXCR4,0.016976425,0.0026258635,641.31744,11.560011,2.6457477,0.8742325060283351,99.76872,1,1,4.0943833e-06,8.6958545e-07
24,LCP1,0.016048826,0.003531692,93.0881,7.9999433,2.6455708,0.861394113291992,97.33832,1,1,3.7939146e-05,1.3796113e-05
25,LINC01934,0.015115609,0.004231948,34.580055,7.2831435,2.6447709,0.8574616271145812,95.6991,1,1,0.00012238108,2.7170274e-05
26,CCL5,0.01497416,0.0022364939,807.65515,12.464638,2.645749,0.8746908246089009,99.876335,1,1,2.7690198e-06,3.9557426e-07
27,CEMIP2,0.014186292,0.00617625,8.943414,5.025464,2.6326005,0.7757651722464336,82.30976,1,1,0.00069059187,0.00018963098
